prolific1:1,choose_a_number:1,they:1,they:2,they:3,han:1,han:2,han:3,mc_01:1,mc_02:1,mc_03:1,mc_04:1,mc_05:1,mc_06:1,mc_07:1,mc_15:1,mc_16:1,mc_17:1,mc_18:1,mc_19:1,mc_20:1,mc_21:1,mc_101:1,mc_102:1,mc_103:1,mc_104:1,mc_105:1,mc_106:1,mc_107:1,mc_108:1,mc_109:1,mc_110:1,mc_111:1,mc_112:1,mc_113:1,mc_114:1,mc_22:1,mc_23:1,mc_24:1,mc_25:1,mc_26:1,mc_27:1,mc_28:1,mc_29:1,mc_30:1,mc_31:1,mc_32:1,mc_33:1,mc_34:1,mc_35:1,mc_136:1,mc_137:1,mc_138:1,mc_139:1,mc_140:1,mc_141:1,mc_142:1,mc_64:1,mc_65:1,mc_66:1,mc_67:1,mc_68:1,mc_69:1,mc_70:1,mc_150:1,mc_151:1,mc_152:1,mc_153:1,mc_154:1,mc_155:1,mc_156:1,mc_57:1,mc_58:1,mc_59:1,mc_60:1,mc_61:1,mc_62:1,mc_63:1,Age:1,Gender:1,Gender_binary_beliefs:1,Gender_binary_beliefs:2,Gender_binary_beliefs:3,Gender_binary_beliefs:4,TIME_start,TIME_end,TIME_total
5cab528ae4e9970001f62fea,1,,,,The man is walking his dog on a lead ,He is being pulled by the dog ,He is shocked and startled by the dog pulling on the lead ,1,1,1,4,2,2,2,1,1,1,2,2,2,2,1,4,1,4,2,2,2,1,1,1,1,4,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,2,4,4,2,2,2,1,2,2,2,2,2,2,1,1,1,4,2,2,2,42,Female ,5,4,5,4,2022-07-06-12-04,2022-07-06-12-14,10
60db8ddfbcb65e3ec09fb5ac,2,They are struggling to handle the dog,The person and the dog look like ballon figures,the animal seems to be a dog and they seem friendly,,,,1,1,1,1,3,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,3,2,2,1,1,1,3,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,20,female ,3,3,1,1,2022-07-06-12-00,2022-07-06-12-08,8
602bb233cb3b6f316811f09f,1,,,,The man is being pulled along by his dog,He is shocked and wondering why the dog is pulling him ,The man is walking his dog on a lead,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,3,4,2,2,2,1,1,1,2,2,2,2,1,1,1,3,3,2,2,1,1,1,3,2,2,2,1,1,4,2,2,2,2,1,1,1,2,2,2,2,1,4,1,2,2,2,2,1,1,1,2,2,2,2,32,Female,3,2,1,2,2022-07-08-14-04,2022-07-08-14-12,8
598d74208380cc00012a3a62,2,The person in the imagine is walking a dog.,The dog is pulling on the lead.,They are struggling with the lead and getting annoyed.,,,,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,36,Female,1,2,1,1,2022-07-08-14-06,2022-07-08-14-14,8
613aeee1621e5eccccc8cea2,2,They are walking their dog ,The dog is pulling them,They are swearing at their dog ,,,,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,2,4,2,2,2,31,Female ,1,1,1,1,2022-07-08-14-13,2022-07-08-14-20,7
5cd4ad19f014930017d35d6a,1,,,,He is walking the dog,The dog is pulling him along,He is being pulled whilst walking the dog,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,38,female,5,5,2,3,2022-07-08-14-04,2022-07-08-14-16,12
5ef436028e8b151e6ae5645e,2,the are walking a dog,being dragged along by the dog,they are stressed out by walking the dog,,,,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,30,female,5,5,1,3,2022-07-08-14-12,2022-07-08-14-20,8
5b9aed646a11180001a8082e,2,They are walking the dog,They look like they have started to fall over whilst walking the dog,They look like they are cursing because they have started to fall over whilst walking the dog,,,,1,1,1,1,2,2,2,4,1,2,2,2,2,2,1,1,4,2,2,2,2,1,1,1,4,4,2,2,1,1,4,4,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,4,1,4,4,2,2,2,1,1,4,4,2,2,2,40,Female ,5,1,1,3,2022-07-06-12-09,2022-07-06-12-15,6
60fd18014ab7337e50410a64,2,They are cross and confused as their dog is pulling to go in a different direction to the one that the own wants to go.,"They might be saying something like, 'What are you doing? You are really annoying me!!'",The dog is pulling on the lead so hard that they are being dragged along.,,,,1,1,1,4,4,2,2,1,1,1,4,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,1,1,4,3,2,2,2,1,1,1,4,4,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,49,woman,1,1,1,1,2022-07-08-14-13,2022-07-08-14-27,14
6126b9430c33506567944999,2,They are trying to stop their dog from pulling ,Their frustrated about the dog pulling them ,They are shouting at the dog to try and stop it from pulling ,,,,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,1,4,2,1,1,1,1,2,2,2,1,3,2,2,2,2,2,1,1,1,2,2,2,2,28,Female,3,1,3,5,2022-07-06-11-58,2022-07-06-12-05,7
5f48cd6061235238d144db2c,1,,,,He is trying to controll his dog.,He is suprised about his dog pulling his leash.,He is stepping back to pull back his dog.,1,1,1,1,2,2,2,1,3,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,3,2,2,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,20,male,3,1,2,3,2022-07-08-14-07,2022-07-08-14-15,8
58bbf520464ae40001bec33c,1,,,,He is struggling to walk his dog.,He is leaning back hard on the lead and getting annoyed.,His dog is pulling hard.,1,1,1,3,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,3,2,2,2,1,1,1,2,2,2,2,1,1,1,3,2,2,2,52,Female,4,3,5,4,2022-07-08-14-11,2022-07-08-14-17,6
5bb21a6ed14ec100019840fb,1,,,,Walking his dog,Trying to slow the dog down,Questioning thoughts ,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,30,Male,2,1,2,2,2022-07-08-14-14,2022-07-08-14-19,5
5d824b54263f1b0001feb4d6,1,,,,This person is taking the dog for a walk.,He is being dragged by his dog.,The person is beginning to lose his balance as his dog is dragging him and he is unable to control it.,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,68,Female,5,5,5,5,2022-07-08-14-10,2022-07-08-14-21,11
5dfeb647c0b81fb457299d05,2,The person is taking their dog for a walk.,"Clearly, the person had underestimated the enthusiasm of their dog!",The dog is pulling at the leash; the person is startled and attempting to draw their dogs attention to make them slow down.,,,,1,1,1,3,2,2,2,1,1,2,2,2,2,2,1,1,4,4,2,2,2,1,1,4,4,2,2,2,1,1,3,3,2,3,2,1,1,1,4,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,4,2,2,2,2,2,1,1,4,2,2,2,2,22,Female,5,1,4,4,2022-07-08-14-11,2022-07-08-14-19,8
5f23dd005a990d1d4fcfee68,1,,,,He is trying to walk his dog. ,"However, the dog seems to be stronger than him by pulling him. ",He seems to be annoyed with dog for pulling. ,1,1,1,4,2,2,2,1,3,2,3,2,2,2,1,1,3,4,2,2,2,4,1,1,3,2,2,2,1,1,3,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,3,3,3,2,2,2,2,1,1,4,4,2,2,2,23,Woman ,5,3,4,5,2022-07-06-12-01,2022-07-06-12-09,8
5f563771f9d13401b412c765,1,,,,A man is taking his dog for a walk.,The dog is pulling on his lead.,The man seems angry and confused that the dog is pulling hard on the leash.,1,1,1,1,2,2,2,1,1,4,2,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,4,2,1,1,4,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,4,4,2,2,2,2,2,1,1,1,2,2,2,2,50,Female,1,1,1,2,2022-07-08-14-05,2022-07-08-14-24,19
6149c45d3b339b0df37ffefc,2,They are being dragged by their dog ,They aren't very happy about it,They can't control their dog ,,,,1,1,4,4,2,2,2,1,4,2,2,2,2,2,1,1,1,4,2,2,2,1,1,1,4,2,4,2,1,1,1,1,2,2,2,1,1,1,4,4,2,2,1,1,1,2,2,2,2,1,1,1,4,4,2,2,1,1,2,2,2,2,2,1,1,1,1,4,4,2,38,Female ,2,1,1,2,2022-07-06-11-56,2022-07-06-12-01,5
6123460a5146e28b7b216bb6,2,In this image there is a person being pulled by a dog.,They are confused about why the dog is pulling so hard.,They don't seem to enjoy the walk.,,,,1,1,1,3,2,2,2,1,1,3,3,2,2,2,1,1,1,2,2,2,2,3,1,1,3,2,2,2,1,3,3,3,2,2,2,1,1,3,3,2,2,2,1,1,1,2,3,2,2,3,1,2,2,2,2,2,3,3,3,2,2,2,2,1,1,1,3,2,2,2,30,Woman ,5,3,5,5,2022-07-06-12-04,2022-07-06-12-15,11
60fd48bc62789e40103f3636,2,The person is walking their dog.,Their dog is pulling and it looks like they are struggling to keep a good pace.,They are thinking.,,,,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,4,2,2,1,1,1,1,4,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,22,woman,1,1,1,1,2022-07-06-11-58,2022-07-06-12-05,7
6079a513a96682665612c7b4,1,,,,He is walking his dog,He is trying to stop the dog,The dog is resisting,4,1,1,4,4,2,2,1,4,3,4,2,2,2,1,4,4,4,4,2,2,1,1,4,4,4,2,2,1,4,1,4,4,4,2,4,1,4,4,4,2,2,4,1,1,4,2,2,2,4,4,4,4,4,2,2,4,4,4,2,2,2,2,1,1,1,4,2,2,2,30,female,5,5,5,5,2022-07-08-14-14,2022-07-08-14-22,8
5c6e591fc114eb00018b2633,1,,,,she taking her pet dog for a walk ,she seems to be running the dog is pulling her ,she is shouting for help from someone,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,3,2,2,1,1,1,1,2,2,2,1,1,1,1,3,2,2,1,1,1,1,3,2,2,1,1,1,1,3,2,2,1,1,1,1,1,2,2,79,female,5,5,5,5,2022-07-08-14-04,2022-07-08-14-14,10
60dc691a18f5a54079a7967c,1,,,,Hes is shouting at his dog ,He doesnt understand why his dog want to go opposite direction ,He's trying to pull his dog to the different direction ,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,39,Women ,5,5,5,5,2022-07-06-12-00,2022-07-06-12-08,8
555b4c66fdf99b19786e3fa8,2,The dog is pulling on the lead. ,This make the person feel angry. ,They shout at the dog,,,,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,28,Male,5,3,5,5,2022-07-08-14-15,2022-07-08-14-21,6
5bf323f866dc510001b309fa,1,,,,A man is walking his dog,The dog is pulling against the lead in the opposite direction to which the man wants to go,He is becoming visibly distressed as the dog is not listening,1,1,1,3,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,3,3,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,26,Non Binary,3,1,1,1,2022-07-06-12-01,2022-07-06-12-07,6
5f3031df1cdf49462ce74533,2,Their dog is pulling on the lead.,They are nearly being dragged by their dog,The person is swearing as they are being pulled by their dog,,,,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,61,female,2,1,1,2,2022-07-08-14-11,2022-07-08-14-23,12
5c9b534b519f7500182be9b7,2,The person is walking a dog on a lead.,They seem to be confused by something and is pulling back on the lead.,The dog does not seem to be aware and is carrying on walking.,,,,1,1,1,1,4,2,2,1,4,4,2,2,2,2,1,4,4,4,2,2,2,1,1,1,1,4,2,2,3,3,3,3,2,2,2,1,1,1,4,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,4,4,2,2,2,2,2,1,1,1,4,2,2,2,46,Female,1,1,1,1,2022-07-08-14-06,2022-07-08-14-16,10
5e20e7b3ed7a203f748184f6,2,The person is walking a dog ,The dog is pulling the person by walking faster than the person ,The person is concerned and is trying to slow the dog down,,,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,32,Female,1,1,1,1,2022-07-08-14-14,2022-07-08-14-29,15
56d07dbe197fb10006233c1e,2,The person is taking their dog.for a walk.,The dog sees something and pulls hard on the lead.,The person gets dragged along suddenly by the dog.,,,,1,1,1,1,2,2,2,1,1,4,2,2,2,2,1,1,1,4,2,2,2,1,1,1,4,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,49,Female,3,2,3,3,2022-07-08-14-08,2022-07-08-14-15,7
60ef604651e2c760abee8db6,1,,,,The man is trying but struggling to hold his dog back.~~,He is surprised and questioning how eager his dog is to get to whatever it is trying to move to.,The dog seems very strong as it is pulling him to get to whatever it is interested in.,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,4,2,2,1,1,1,4,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,21,female,1,1,1,1,2022-07-08-14-11,2022-07-08-14-20,9
627e6f5def772551f0b16747,1,,,,He is walking the dog.,The dog is straining at the leash and dragging him along.,He is not happy that the dog is pulling him.,1,1,1,2,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,43,Female,1,1,1,5,2022-07-08-14-11,2022-07-08-14-19,8
