trial,fem,face,race,scale
1.1,100,w1_0,White,
2.1,83.33,w1_1,White,
3.1,66.67,w1_2,White,
4.1,50,w1_3,White,
5.1,33.33,w1_4,White,
6.1,16.67,w1_5,White,
7.1,0,w1_6,White,
8.1,100,w2_0,White,
9.1,83.33,w2_1,White,
10.1,66.67,w2_2,White,
11.1,50,w2_3,White,
12.1,33.33,w2_4,White,
13.1,16.67,w2_5,White,
14.1,0,w2_6,White,
15.1,100,w3_0,White,
16.1,83.33,w3_1,White,
17.1,66.67,w3_2,White,
18.1,50,w3_3,White,
19.1,33.33,w3_4,White,
20.1,16.67,w3_5,White,
21.1,0,w3_6,White,
22.1,100,w4_0,White,
23.1,83.33,w4_1,White,
24.1,66.67,w4_2,White,
25.1,50,w4_3,White,
26.1,33.33,w4_4,White,
27.1,16.67,w4_5,White,
28.1,0,w4_6,White,
29.1,100,w5_0,White,
30.1,83.33,w5_1,White,
31.1,66.67,w5_2,White,
32.1,50,w5_3,White,
33.1,33.33,w5_4,White,
34.1,16.67,w5_5,White,
35.1,0,w5_6,White,
36.1,100,w6_0,White,
37.1,83.33,w6_1,White,
38.1,66.67,w6_2,White,
39.1,50,w6_3,White,
40.1,33.33,w6_4,White,
41.1,16.67,w6_5,White,
42.1,0,w6_6,White,
43.1,100,w7_0,White,
44.1,83.33,w7_1,White,
45.1,66.67,w7_2,White,
46.1,50,w7_3,White,
47.1,33.33,w7_4,White,
48.1,16.67,w7_5,White,
49.1,0,w7_6,White,
50.1,100,w8_0,White,
51.1,83.33,w8_1,White,
52.1,66.67,w8_2,White,
53.1,50,w8_3,White,
54.1,33.33,w8_4,White,
55.1,16.67,w8_5,White,
56.1,0,w8_6,White,
57.1,100,w9_0,White,
58.1,83.33,w9_1,White,
59.1,66.67,w9_2,White,
60.1,50,w9_3,White,
61.1,33.33,w9_4,White,
62.1,16.67,w9_5,White,
63.1,0,w9_6,White,
64.1,100,w10_0,White,
65.1,83.33,w10_1,White,
66.1,66.67,w10_2,White,
67.1,50,w10_3,White,
68.1,33.33,w10_4,White,
69.1,16.67,w10_5,White,
70.1,0,w10_6,White,
101.1,0,w1_0,Black,
102.1,16.67,w1_1,Black,
103.1,33.33,w1_2,Black,
104.1,50,w1_3,Black,
105.1,66.67,w1_4,Black,
106.1,83.33,w1_5,Black,
107.1,100,w1_6,Black,
108.1,100,w2_0,Black,
109.1,83.33,w2_1,Black,
110.1,66.67,w2_2,Black,
111.1,50,w2_3,Black,
112.1,33.33,w2_4,Black,
113.1,16.67,w2_5,Black,
114.1,0,w2_6,Black,
115.1,100,w3_0,Black,
116.1,83.33,w3_1,Black,
117.1,66.67,w3_2,Black,
118.1,50,w3_3,Black,
119.1,33.33,w3_4,Black,
120.1,16.67,w3_5,Black,
121.1,0,w3_6,Black,
122.1,100,w4_0,Black,
123.1,83.33,w4_1,Black,
124.1,66.67,w4_2,Black,
125.1,50,w4_3,Black,
126.1,33.33,w4_4,Black,
127.1,16.67,w4_5,Black,
128.1,0,w4_6,Black,
129.1,100,w5_0,Black,
130.1,83.33,w5_1,Black,
131.1,66.67,w5_2,Black,
132.1,50,w5_3,Black,
133.1,33.33,w5_4,Black,
134.1,16.67,w5_5,Black,
135.1,0,w5_6,Black,
136.1,100,w6_0,Asian,
137.1,83.33,w6_1,Asian,
138.1,66.67,w6_2,Asian,
139.1,50,w6_3,Asian,
140.1,33.33,w6_4,Asian,
141.1,16.67,w6_5,Asian,
142.1,0,w6_6,Asian,
143.1,100,w7_0,Asian,
144.1,83.33,w7_1,Asian,
145.1,66.67,w7_2,Asian,
146.1,50,w7_3,Asian,
147.1,33.33,w7_4,Asian,
148.1,16.67,w7_5,Asian,
149.1,0,w7_6,Asian,
150.1,100,w8_0,Asian,
151.1,83.33,w8_1,Asian,
152.1,66.67,w8_2,Asian,
153.1,50,w8_3,Asian,
154.1,33.33,w8_4,Asian,
155.1,16.67,w8_5,Asian,
156.1,0,w8_6,Asian,
157.1,100,w9_0,Asian,
158.1,83.33,w9_1,Asian,
159.1,66.67,w9_2,Asian,
160.1,50,w9_3,Asian,
161.1,33.33,w9_4,Asian,
162.1,16.67,w9_5,Asian,
163.1,0,w9_6,Asian,
164.1,0,w10_0,Asian,
165.1,16.67,w10_1,Asian,
166.1,33.33,w10_2,Asian,
167.1,50,w10_3,Asian,
168.1,66.67,w10_4,Asian,
169.1,83.33,w10_5,Asian,
170.1,0,w10_6,Asian,
1.1,100,w1_0,White,f
2.1,83.33,w1_1,White,f
3.1,66.67,w1_2,White,f
4.1,50,w1_3,White,f
5.1,33.33,w1_4,White,f
6.1,16.67,w1_5,White,f
7.1,0,w1_6,White,f
8.1,100,w2_0,White,f
9.1,83.33,w2_1,White,f
10.1,66.67,w2_2,White,f
11.1,50,w2_3,White,f
12.1,33.33,w2_4,White,f
13.1,16.67,w2_5,White,f
14.1,0,w2_6,White,f
15.1,100,w3_0,White,f
16.1,83.33,w3_1,White,f
17.1,66.67,w3_2,White,f
18.1,50,w3_3,White,f
19.1,33.33,w3_4,White,f
20.1,16.67,w3_5,White,f
21.1,0,w3_6,White,f
22.1,100,w4_0,White,f
23.1,83.33,w4_1,White,f
24.1,66.67,w4_2,White,f
25.1,50,w4_3,White,f
26.1,33.33,w4_4,White,f
27.1,16.67,w4_5,White,f
28.1,0,w4_6,White,f
29.1,100,w5_0,White,f
30.1,83.33,w5_1,White,f
31.1,66.67,w5_2,White,f
32.1,50,w5_3,White,f
33.1,33.33,w5_4,White,f
34.1,16.67,w5_5,White,f
35.1,0,w5_6,White,f
36.1,100,w6_0,White,f
37.1,83.33,w6_1,White,f
38.1,66.67,w6_2,White,f
39.1,50,w6_3,White,f
40.1,33.33,w6_4,White,f
41.1,16.67,w6_5,White,f
42.1,0,w6_6,White,f
43.1,100,w7_0,White,f
44.1,83.33,w7_1,White,f
45.1,66.67,w7_2,White,f
46.1,50,w7_3,White,f
47.1,33.33,w7_4,White,f
48.1,16.67,w7_5,White,f
49.1,0,w7_6,White,f
50.1,100,w8_0,White,f
51.1,83.33,w8_1,White,f
52.1,66.67,w8_2,White,f
53.1,50,w8_3,White,f
54.1,33.33,w8_4,White,f
55.1,16.67,w8_5,White,f
56.1,0,w8_6,White,f
101.1,0,w1_0,Black,f
102.1,16.67,w1_1,Black,f
103.1,33.33,w1_2,Black,f
104.1,50,w1_3,Black,f
105.1,66.67,w1_4,Black,f
106.1,83.33,w1_5,Black,f
107.1,0,w1_6,Black,f
108.1,100,w2_0,Black,f
109.1,83.33,w2_1,Black,f
110.1,66.67,w2_2,Black,f
111.1,50,w2_3,Black,f
112.1,33.33,w2_4,Black,f
113.1,16.67,w2_5,Black,f
114.1,0,w2_6,Black,f
115.1,100,w3_0,Black,f
116.1,83.33,w3_1,Black,f
117.1,66.67,w3_2,Black,f
118.1,50,w3_3,Black,f
119.1,33.33,w3_4,Black,f
120.1,16.67,w3_5,Black,f
121.1,0,w3_6,Black,f
122.1,100,w4_0,Black,f
123.1,83.33,w4_1,Black,f
124.1,66.67,w4_2,Black,f
125.1,50,w4_3,Black,f
126.1,33.33,w4_4,Black,f
127.1,16.67,w4_5,Black,f
128.1,0,w4_6,Black,f
129.1,100,w5_0,Black,f
130.1,83.33,w5_1,Black,f
131.1,66.67,w5_2,Black,f
132.1,50,w5_3,Black,f
133.1,33.33,w5_4,Black,f
134.1,16.67,w5_5,Black,f
135.1,0,w5_6,Black,f
136.1,100,w6_0,Asian,f
137.1,83.33,w6_1,Asian,f
138.1,66.67,w6_2,Asian,f
139.1,50,w6_3,Asian,f
140.1,33.33,w6_4,Asian,f
141.1,16.67,w6_5,Asian,f
142.1,0,w6_6,Asian,f
143.1,100,w7_0,Asian,f
144.1,83.33,w7_1,Asian,f
145.1,66.67,w7_2,Asian,f
146.1,50,w7_3,Asian,f
147.1,33.33,w7_4,Asian,f
148.1,16.67,w7_5,Asian,f
149.1,0,w7_6,Asian,f
150.1,100,w8_0,Asian,f
151.1,83.33,w8_1,Asian,f
152.1,66.67,w8_2,Asian,f
153.1,50,w8_3,Asian,f
154.1,33.33,w8_4,Asian,f
155.1,16.67,w8_5,Asian,f
156.1,0,w8_6,Asian,f
1.1,100,w1_0,White,m
2.1,83.33,w1_1,White,m
3.1,66.67,w1_2,White,m
4.1,50,w1_3,White,m
5.1,33.33,w1_4,White,m
6.1,16.67,w1_5,White,m
7.1,0,w1_6,White,m
8.1,100,w2_0,White,m
9.1,83.33,w2_1,White,m
10.1,66.67,w2_2,White,m
11.1,50,w2_3,White,m
12.1,33.33,w2_4,White,m
13.1,16.67,w2_5,White,m
14.1,0,w2_6,White,m
15.1,100,w3_0,White,m
16.1,83.33,w3_1,White,m
17.1,66.67,w3_2,White,m
18.1,50,w3_3,White,m
19.1,33.33,w3_4,White,m
20.1,16.67,w3_5,White,m
21.1,0,w3_6,White,m
22.1,100,w4_0,White,m
23.1,83.33,w4_1,White,m
24.1,66.67,w4_2,White,m
25.1,50,w4_3,White,m
26.1,33.33,w4_4,White,m
27.1,16.67,w4_5,White,m
28.1,0,w4_6,White,m
29.1,100,w5_0,White,m
30.1,83.33,w5_1,White,m
31.1,66.67,w5_2,White,m
32.1,50,w5_3,White,m
33.1,33.33,w5_4,White,m
34.1,16.67,w5_5,White,m
35.1,0,w5_6,White,m
36.1,100,w6_0,White,m
37.1,83.33,w6_1,White,m
38.1,66.67,w6_2,White,m
39.1,50,w6_3,White,m
40.1,33.33,w6_4,White,m
41.1,16.67,w6_5,White,m
42.1,0,w6_6,White,m
43.1,100,w7_0,White,m
44.1,83.33,w7_1,White,m
45.1,66.67,w7_2,White,m
46.1,50,w7_3,White,m
47.1,33.33,w7_4,White,m
48.1,16.67,w7_5,White,m
49.1,0,w7_6,White,m
50.1,100,w8_0,White,m
51.1,83.33,w8_1,White,m
52.1,66.67,w8_2,White,m
53.1,50,w8_3,White,m
54.1,33.33,w8_4,White,m
55.1,16.67,w8_5,White,m
56.1,0,w8_6,White,m
101.1,0,w1_0,Black,m
102.1,16.67,w1_1,Black,m
103.1,33.33,w1_2,Black,m
104.1,50,w1_3,Black,m
105.1,66.67,w1_4,Black,m
106.1,83.33,w1_5,Black,m
107.1,0,w1_6,Black,m
108.1,100,w2_0,Black,m
109.1,83.33,w2_1,Black,m
110.1,66.67,w2_2,Black,m
111.1,50,w2_3,Black,m
112.1,33.33,w2_4,Black,m
113.1,16.67,w2_5,Black,m
114.1,0,w2_6,Black,m
115.1,100,w3_0,Black,m
116.1,83.33,w3_1,Black,m
117.1,66.67,w3_2,Black,m
118.1,50,w3_3,Black,m
119.1,33.33,w3_4,Black,m
120.1,16.67,w3_5,Black,m
121.1,0,w3_6,Black,m
122.1,100,w4_0,Black,m
123.1,83.33,w4_1,Black,m
124.1,66.67,w4_2,Black,m
125.1,50,w4_3,Black,m
126.1,33.33,w4_4,Black,m
127.1,16.67,w4_5,Black,m
128.1,0,w4_6,Black,m
129.1,100,w5_0,Black,m
130.1,83.33,w5_1,Black,m
131.1,66.67,w5_2,Black,m
132.1,50,w5_3,Black,m
133.1,33.33,w5_4,Black,m
134.1,16.67,w5_5,Black,m
135.1,0,w5_6,Black,m
136.1,100,w6_0,Asian,m
137.1,83.33,w6_1,Asian,m
138.1,66.67,w6_2,Asian,m
139.1,50,w6_3,Asian,m
140.1,33.33,w6_4,Asian,m
141.1,16.67,w6_5,Asian,m
142.1,0,w6_6,Asian,m
143.1,100,w7_0,Asian,m
144.1,83.33,w7_1,Asian,m
145.1,66.67,w7_2,Asian,m
146.1,50,w7_3,Asian,m
147.1,33.33,w7_4,Asian,m
148.1,16.67,w7_5,Asian,m
149.1,0,w7_6,Asian,m
150.1,100,w8_0,Asian,m
151.1,83.33,w8_1,Asian,m
152.1,66.67,w8_2,Asian,m
153.1,50,w8_3,Asian,m
154.1,33.33,w8_4,Asian,m
155.1,16.67,w8_5,Asian,m
156.1,0,w8_6,Asian,m
